order_id,customer_id,order_date,amount,status
O1001,C001,2024-01-05,"$1,299.00",completed
O1002,C002,2024/01/09,"$450.50",Completed
O1001,C001,2024-01-05,"$1,299.00",completed
O1004,C003,2024-02-14,"$89.99",COMPLETED
O1005,C004,2024-02-20,"$2,000.00",cancelled
O1006,C002,2024-03-01,"$450.50",refunded
O1007,C005,2024-03-11,"$320.00 ",completed
O1008,C006,2024-03-15,"$75.25",Completed
O1009,,2024-03-18,"$999.00",completed
O1010,C001,2024-04-02,"$1,150.00",completed
O1011,C007,2024-04-10,"$-50.00",completed
O1012,C004,2024-04-22,"$675.00",Cancelled
O1013,C002,2024-05-03,"$1,800.00",completed
O1014,C003,05/12/2024,"$210.00",completed
O1015,C006,2024-05-19,"$540.00",COMPLETED
O1016,C009,2024-06-01,"$430.00",completed
O1017,C005,2024-06-15,"$1,250.00",completed
O1018,C002,2024-06-28,"$300.00",Refunded
O1019,C001,2023-12-30,"$800.00",completed
O1020,C004,2024-07-04,"$3,400.00",completed
O1021,C007,2024-07-19,"$620.00",completed
O1022,C006,2024-08-08,"$0.00",completed
O1023,C003,2024-08-21,"$155.00",completed
O1024,C002,2024-09-02,"$980.00",completed
O1025,C001,2024-09-10,"$1,299.00",completed
